,Date,prix moyen au kg,"Production quantité 
tonne(s)",Température minimale en °C,Température maximale en °C,précipitations en mm,Ensoleillement en min,Rafales (vitesse du vent) en km/h
396,18/06/14,1.4,0.02,10.7,22.6,0.0,470,42.6
397,10/09/12,1.0,2.06,16.3,25.1,0.2,162,26.6
398,25/07/12,1.3,0.3,14.3,33.3,0.0,859,24.5
399,09/10/20,1.75,0.2,10.9,15.7,0.2,24,37.4
400,24/09/20,1.65,0.1,9.8,18.2,8.1,200,68.4
401,27/06/13,1.2,1.28,10.5,21.2,0.4,372,35.2
402,24/06/13,1.1,1.12,10.5,19.1,0.0,342,42.6
403,28/07/20,1.5,0.08,16.7,25.9,0.0,762,46.8
404,25/10/19,1.0,0.15,9.3,16.4,0.4,74,46.8
405,11/10/19,1.4,0.2,11.7,21.2,0.0,472,54.0
406,17/09/19,1.8,0.05,12.6,22.3,0.0,277,36.0
407,16/08/19,1.8,0.18,10.9,25.9,0.0,451,51.5
408,11/07/19,1.75,0.1,16.1,30.5,0.0,162,46.8
409,05/07/19,1.5,0.12,11.6,32.1,0.0,900,36.0
410,25/09/17,1.1,0.3,12.4,21.0,0.2,61,26.6
411,12/07/17,1.25,0.12,16.9,23.2,1.0,48,50.4
412,16/06/17,1.2,0.44,12.4,24.3,0.0,846,32.8
413,14/06/17,1.2,0.16,12.2,29.8,0.0,508,25.2
414,13/09/16,1.3,0.12,18.0,32.9,0.0,534,58.3
415,29/06/16,1.35,0.16,13.4,24.1,0.0,384,50.4
416,31/08/15,0.8,1.2,19.2,30.0,13.1,416,52.6
417,09/07/15,1.2,2.0,8.5,24.4,0.0,834,35.3
418,29/07/14,1.0,0.4,12.3,21.4,2.2,6,34.2
419,20/09/12,1.0,1.47,2.9,18.8,0.0,643,25.9
420,23/07/12,1.22,0.05,10.2,26.9,0.0,866,42.6
421,18/09/20,1.8,0.1,14.1,29.7,0.4,588,43.2
422,09/07/19,2.0,0.1,9.8,25.3,0.0,893,46.8
423,15/07/13,1.35,6.336,13.8,29.7,0.0,692,25.6
424,23/06/21,1.5,0.1,13.0,17.1,0.0,57,32.4
425,24/06/21,1.5,0.1,11.8,21.9,0.0,612,39.6
426,25/06/21,1.5,0.2,8.7,22.2,1.4,316,36.0
427,28/06/21,1.5,0.165,15.0,23.0,1.6,299,48.2
428,29/06/21,1.75,0.1,11.5,18.7,14.7,183,32.8
429,30/06/21,2.0,0.08,13.0,18.6,0.4,144,36.0
430,01/07/21,2.0,0.05,9.2,24.2,0.0,293,25.2
431,09/07/21,1.7,0.21,12.1,23.9,0.0,289,36.0
432,12/07/21,1.7,0.53,12.1,21.7,1.4,54,40.7
433,13/07/21,1.7,0.11,14.1,18.2,20.2,6,39.6
434,15/07/21,1.7,0.15,14.5,25.6,0.0,266,50.4
435,16/07/21,1.7,0.4,13.8,20.2,0.0,210,46.8
436,19/07/21,1.6,0.65,16.6,30.2,0.2,864,69.8
437,22/07/21,1.5,0.23,13.6,29.4,0.0,871,40.0
438,23/07/21,1.5,0.72,14.5,30.2,0.2,639,46.8
439,26/07/21,1.6,0.85,15.2,25.3,0.0,359,44.6
440,27/07/21,1.5,0.12,16.1,19.9,3.0,8,44.3
441,28/07/21,1.5,0.5,15.2,22.8,0.0,169,43.2
442,29/07/21,1.65,0.125,12.3,23.2,0.0,322,46.8
443,30/07/21,1.5,0.55,12.6,23.2,0.0,267,57.6
444,02/08/21,1.65,0.1,14.5,21.2,0.0,60,43.9
445,05/08/21,1.65,0.18,15.0,23.0,0.0,203,43.6
446,06/08/21,1.65,0.2,15.1,23.2,0.0,113,55.1
447,09/08/21,1.65,0.05,11.5,22.4,0.0,128,43.2
448,11/08/21,1.8,0.05,12.0,29.1,0.0,564,28.8
449,13/08/21,1.55,0.1,15.4,30.1,0.0,425,23.0
461,16/08/21,1.55,0.09,15.3,22.7,0.4,73,48.6
462,17/08/21,1.55,0.05,13.5,18.3,0.0,20,33.5
