,Date,prix moyen au kg,"Production quantité 
tonne(s)",Température minimale en °C,Température maximale en °C,précipitations en mm,Ensoleillement en min,Rafales (vitesse du vent) en km/h
91,16/08/16,1.6,0.032,14.2,31.7,0.0,800,25.9
92,22/07/13,1.125,0.8,17.3,34.3,0.0,535,36.0
93,16/07/13,1.3,0.4,15.7,29.1,0.0,606,31.0
94,15/09/20,1.05,0.1,18.7,33.1,0.0,698,32.4
95,05/10/20,1.05,0.25,10.5,13.5,4.2,0,57.6
96,27/07/20,1.3,0.15,13.8,32.1,0.2,860,62.6
97,07/09/20,1.1,0.15,7.0,23.0,0.0,657,32.4
98,24/07/20,1.5,0.35,15.1,26.9,0.0,539,32.4
99,02/07/20,1.75,0.4,13.8,22.3,0.0,162,43.2
100,23/09/19,1.5,0.05,12.7,21.9,1.4,404,43.2
101,03/09/19,1.6,0.15,7.7,24.9,0.0,751,28.8
102,21/09/18,1.5,0.05,12.6,18.5,3.7,127,51.5
103,04/09/18,1.5,0.02,16.9,25.2,0.0,414,36.4
104,11/07/18,1.13,0.05,9.9,24.1,0.0,234,32.4
105,07/09/17,1.1,0.72,9.5,20.3,0.0,142,40.3
106,24/08/17,1.25,0.56,13.4,25.8,0.0,264,28.8
107,25/07/17,1.5,0.04,13.3,23.3,0.0,300,39.6
108,06/07/17,1.25,0.51,18.2,35.0,0.2,516,33.8
109,19/06/17,1.2,0.64,14.0,33.7,0.0,906,25.9
110,19/09/16,1.0,0.4,12.5,20.0,0.4,78,35.6
111,23/08/16,1.4,0.26,14.3,33.7,0.0,774,44.4
112,12/08/16,1.0,0.016,10.7,28.0,0.0,804,23.0
113,09/08/16,1.4,0.16,10.5,23.3,0.0,566,45.4
114,25/07/16,1.3,0.32,16.7,28.8,0.0,168,39.2
115,23/06/16,1.4,0.32,18.9,32.3,0.0,704,31.5
116,14/08/15,0.85,0.4,16.0,25.5,6.2,210,49.0
117,11/07/14,1.0,0.5,13.9,22.2,0.2,252,33.5
118,08/08/13,1.4,1.52,13.7,23.9,0.0,390,31.5
119,25/06/13,1.2,0.56,6.2,19.1,0.0,679,29.9
120,05/11/20,1.1,0.1,1.8,11.5,0.0,533,32.4
121,17/07/20,1.55,0.12,13.2,25.4,0.0,582,28.8
122,06/09/19,1.6,0.6,4.2,21.5,0.0,655,28.8
123,12/10/17,1.15,0.38,13.4,20.5,0.2,209,39.6
124,27/09/17,1.1,0.08,9.4,22.5,0.8,414,21.6
125,21/09/17,1.1,0.36,7.0,21.8,0.0,675,30.2
126,08/09/17,1.1,0.31,14.9,19.7,31.7,12,57.6
127,18/08/17,1.25,0.2,16.8,22.7,19.1,228,43.9
128,10/08/17,1.4,0.37,11.8,17.8,3.4,126,28.8
129,15/06/17,1.2,0.2,18.9,30.0,0.0,768,37.1
130,26/10/16,1.0,0.08,10.3,12.6,0.0,0,29.6
131,07/10/16,1.0,0.12,5.1,14.2,0.0,234,38.9
132,29/09/16,1.0,0.36,11.9,25.4,0.2,456,45.0
133,22/06/16,1.4,0.016,14.7,29.7,0.0,564,29.6
134,10/07/14,1.0,1.0,13.8,15.4,24.6,0,35.2
135,02/09/13,0.7,2.56,7.1,26.3,0.0,714,23.8
136,19/08/13,0.7,2.19,13.6,24.3,0.0,601,36.0
137,06/08/13,1.0,0.19,12.6,25.1,13.5,378,35.6
138,08/10/12,1.0,0.28,11.5,18.0,23.7,0,64.8
139,24/07/12,1.3,0.4,10.6,29.6,0.0,866,35.6
140,14/06/12,1.5,0.06,8.0,22.6,3.0,583,42.6
141,30/10/20,1.8,0.1,12.6,15.9,0.0,0,40.7
142,16/10/20,1.6,0.25,7.2,12.2,0.0,0,36.0
143,15/10/20,1.7,0.05,4.9,11.1,0.0,41,51.1
144,01/07/13,1.2,2.24,11.4,25.2,0.0,620,18.5
